rowIndex,recording,recorderState,fromFrame,rawInputMs,acceptedMs,steps,advanceMs,clampLossMs,discardedBacklogMs,markerSpanMs,callbackElapsedMs,observerBookkeepingMs,interMarkerGapMs,snapshotGapMs,previousRowIndex,markerRafOffsetChangeMs
0,1,recording,2696,140,140.0,4,66.66666666666288,0.0,81.3333333333375,17.000000000014552,17.000000000014552,0,,,,
1,1,recording,2697,172,172.0,4,66.66666666666288,0.0,105.33333333333711,4,4,1,148.99999999998545,148.99999999998545,0,-6
2,1,recording,2698,27,27.0,1,16.66666666666572,0.0,0.0,2,2,0,22,22,1,-1
3,1,recording,2699,22,22.0,1,16.66666666666572,0.0,0.0,3,3,0,20,20,2,0
4,1,recording,2700,82,82.0,4,66.66666666666288,0.0,31.000000000003787,3,3,0,79,79,3,0
5,1,recording,2701,31,31.0,1,16.66666666666572,0.0,0.0,3,3,0,28,28,4,0
6,1,recording,2702,15,15.0,1,16.66666666666572,0.0,0.0,3,3,0,12,12,5,0
7,1,recording,2703,13,13.0,1,16.66666666666572,0.0,0.0,3,3,0,10,10,6,0
8,1,recording,2704,21,21.0,1,16.66666666666572,0.0,0.0,2,2,0,19,19,7,1
9,1,recording,2705,17,17.0,1,16.66666666666572,0.0,0.0,2.000000000014552,2.000000000014552,0,14,14,8,-1
10,1,recording,2706,24,24.0,2,33.33333333333144,0.0,0.0,3,3,0,21.999999999985448,21.999999999985448,9,0
11,1,recording,2707,16,16.0,1,16.66666666666572,0.0,0.0,2,2,1,13,13,10,0
12,1,recording,2708,18,18.0,1,16.66666666666572,0.0,0.0,2,2,0,16,16,11,0
13,1,recording,2709,17,17.0,1,16.66666666666572,0.0,0.0,2,2,0,15,15,12,0
14,1,recording,2710,31,31.0,2,33.33333333333144,0.0,0.0,11,10,3,29,30,13,0
15,1,recording,2711,24,24.0,1,16.66666666666572,0.0,0.0,6.999999999985448,6.999999999985448,0,13.000000000014552,13.000000000014552,14,1.4551915228366852e-11
16,1,recording,2712,26,26.0,2,33.33333333333144,0.0,0.0,3,3,1,19,19,15,-1.4551915228366852e-11
17,1,recording,2713,18,18.0,1,16.66666666666572,0.0,0.0,4,3,1,15,16,16,0
18,1,recording,2714,20,20.0,1,16.66666666666572,0.0,0.0,2,2,0,16,16,17,0
19,1,recording,2715,14,14.0,1,16.66666666666572,0.0,0.0,3,3,0,12,12,18,0
20,1,recording,2716,18,18.0,1,16.66666666666572,0.0,0.0,3,3,0,15,15,19,0
21,1,recording,2717,33,33.0,2,33.33333333333144,0.0,0.0,5.000000000014552,5.000000000014552,0,30,30,20,0
22,1,recording,2718,20,20.0,1,16.66666666666572,0.0,0.0,4,4,0,14.999999999985448,14.999999999985448,21,0
23,1,recording,2719,16,16.0,1,16.66666666666572,0.0,0.0,4,4,0,12,12,22,0
24,1,recording,2720,22,22.0,1,16.66666666666572,0.0,0.0,2,2,0,18,18,23,0
25,1,recording,2721,14,14.0,1,16.66666666666572,0.0,0.0,6,6,0,12,12,24,0
26,1,recording,2722,24,24.0,2,33.33333333333144,0.0,0.0,5,5,0,18,18,25,0
27,1,recording,2723,23,23.0,1,16.66666666666572,0.0,0.0,4,4,0,18,18,26,0
